Loan Identifier,Monthly Reporting Period,Channel,Original Interest Rate,Current Interest Rate,Original UPB,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Debt-To-Income (DTI),Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Metropolitan Statistical Area (MSA),Zip Code Short,Interest Only Loan Indicator,Current Loan Delinquency Status,Modification Flag,Zero Balance Code,Special Eligibility Program,Property Valuation Method,High Balance Loan Indicator,Unemployment_rate,Divorce_rate,Inflation_rate,EMI,UPB_diff,Interest_Component,PREPAYMENT_AMT,Previous_UPB,Remaining MFM,Time to Die
468080032317,112000,0,8.75,8.75,36000.0,36000.0,360,102000,112000,357.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.0,4.0,3.4,283.2121460208136,0.0,262.5,0.0,36000.0,359,266.0
468080032317,122000,0,8.75,8.75,36000.0,36000.0,360,102000,112000,356.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.0,4.0,3.4,283.2121460208136,0.0,262.5,0.0,36000.0,358,266.0
468080032317,12001,0,8.75,8.75,36000.0,36000.0,360,102000,112000,355.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,3.7,283.2121460208136,0.0,262.5,0.0,36000.0,357,266.0
468080032317,22001,0,8.75,8.75,36000.0,36000.0,360,102000,112000,355.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,3.5,283.2121460208136,0.0,262.5,0.0,36000.0,356,266.0
468080032317,32001,0,8.75,8.75,36000.0,36000.0,360,102000,112000,354.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,2.9,283.2121460208136,0.0,262.5,0.0,36000.0,355,266.0
468080032317,42001,0,8.75,8.75,36000.0,36000.0,360,102000,112000,353.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,3.3,283.2121460208136,0.0,262.5,0.0,36000.0,354,266.0
468080032317,52001,0,8.75,8.75,36000.0,35829.95,360,102000,112000,352.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,3.6,283.2121460208136,170.0500000000029,262.5,149.33785397918933,36000.0,353,266.0
468080032317,62001,0,8.75,8.75,36000.0,35808.0,360,102000,112000,351.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,3.2,283.2121460208136,21.94999999999709,262.5,1.2378539791835124,35829.95,352,266.0
468080032317,72001,0,8.75,8.75,36000.0,35785.89,360,102000,112000,350.0,80,14.0,611.0,1,1,4,1,1,38300,152,0,0,0,0,0,4,0,4.7,4.0,2.7,283.2121460208136,22.110000000000586,262.5,1.3978539791870048,35808.0,351,266.0
216498507613,72001,1,7.25,7.25,46000.0,46000.0,360,62001,82001,359.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,4.7,4.0,2.7,313.80108882584744,0.0,277.9166666666667,0.0,46000.0,359,258.0
216498507613,82001,1,7.25,7.25,46000.0,46000.0,360,62001,82001,358.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,4.7,4.0,2.7,313.80108882584744,0.0,277.9166666666667,0.0,46000.0,358,258.0
216498507613,92001,1,7.25,7.25,46000.0,46000.0,360,62001,82001,357.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,4.7,4.0,2.6,313.80108882584744,0.0,277.9166666666667,0.0,46000.0,357,258.0
216498507613,102001,1,7.25,7.25,46000.0,46000.0,360,62001,82001,356.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,4.7,4.0,2.1,313.80108882584744,0.0,277.9166666666667,0.0,46000.0,356,258.0
216498507613,112001,1,7.25,7.25,46000.0,46000.0,360,62001,82001,356.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,4.7,4.0,1.9,313.80108882584744,0.0,277.9166666666667,0.0,46000.0,355,258.0
216498507613,122001,1,7.25,7.25,46000.0,46000.0,360,62001,82001,354.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,4.7,4.0,1.6,313.80108882584744,0.0,277.9166666666667,0.0,46000.0,354,258.0
216498507613,12002,1,7.25,7.25,46000.0,45247.0,360,62001,82001,353.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,5.8,3.9,1.1,313.80108882584744,753.0,277.9166666666667,717.1155778408192,46000.0,353,258.0
216498507613,22002,1,7.25,7.25,46000.0,44589.2,360,62001,82001,336.0,31,19.0,803.0,1,1,4,1,1,15940,446,0,0,0,0,0,4,0,5.8,3.9,1.1,313.80108882584744,657.8000000000029,277.9166666666667,621.9155778408222,45247.0,352,258.0
