Loan Identifier,Monthly Reporting Period,Channel,Original Interest Rate,Current Interest Rate,Original UPB,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Debt-To-Income (DTI),Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Metropolitan Statistical Area (MSA),Zip Code Short,Interest Only Loan Indicator,Current Loan Delinquency Status,Modification Flag,Zero Balance Code,Special Eligibility Program,Property Valuation Method,High Balance Loan Indicator,Unemployment_rate,Divorce_rate,Inflation_rate,EMI,UPB_diff,Interest_Component,PREPAYMENT_AMT,Previous_UPB,Remaining MFM,Time to Die
365419978803,122000,2,8.25,8.25,62000.0,62000.0,120,112000,12001,120.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.0,4.0,3.4,760.4462755484803,0.0,426.25,0.0,62000.0,119,120.0
365419978803,12001,2,8.25,8.25,62000.0,62000.0,120,112000,12001,119.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,3.7,760.4462755484803,0.0,426.25,0.0,62000.0,118,120.0
365419978803,22001,2,8.25,8.25,62000.0,62000.0,120,112000,12001,118.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,3.5,760.4462755484803,0.0,426.25,0.0,62000.0,117,120.0
365419978803,32001,2,8.25,8.25,62000.0,62000.0,120,112000,12001,117.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,2.9,760.4462755484803,0.0,426.25,0.0,62000.0,116,120.0
365419978803,42001,2,8.25,8.25,62000.0,62000.0,120,112000,12001,116.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,3.3,760.4462755484803,0.0,426.25,0.0,62000.0,115,120.0
365419978803,52001,2,8.25,8.25,62000.0,62000.0,120,112000,12001,115.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,3.6,760.4462755484803,0.0,426.25,0.0,62000.0,114,120.0
365419978803,62001,2,8.25,8.25,62000.0,60250.14,120,112000,12001,114.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,3.2,760.4462755484803,1749.8600000000006,426.25,1415.6637244515202,62000.0,113,120.0
365419978803,72001,2,8.25,8.25,62000.0,59900.23,120,112000,12001,113.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,2.7,760.4462755484803,349.9099999999962,426.25,15.713724451515873,60250.14,112,120.0
365419978803,82001,2,8.25,8.25,62000.0,59547.91,120,112000,12001,112.0,78,33.0,635.0,0,2,4,1,1,40380,145,0,0,0,0,0,4,0,4.7,4.0,2.7,760.4462755484803,352.3199999999997,426.25,18.123724451519365,59900.23,111,120.0
703199062222,102000,0,8.0,8.0,26000.0,26000.0,180,92000,112000,180.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.0,4.0,3.4,248.46954192589268,0.0,173.33333333333334,0.0,26000.0,179,80.0
703199062222,112000,0,8.0,8.0,26000.0,26000.0,180,92000,112000,178.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.0,4.0,3.4,248.46954192589268,0.0,173.33333333333334,0.0,26000.0,178,80.0
703199062222,122000,0,8.0,8.0,26000.0,26000.0,180,92000,112000,175.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.0,4.0,3.4,248.46954192589268,0.0,173.33333333333334,0.0,26000.0,177,80.0
703199062222,12001,0,8.0,8.0,26000.0,26000.0,180,92000,112000,175.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.7,4.0,3.7,248.46954192589268,0.0,173.33333333333334,0.0,26000.0,176,80.0
703199062222,22001,0,8.0,8.0,26000.0,26000.0,180,92000,112000,174.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.7,4.0,3.5,248.46954192589268,0.0,173.33333333333334,0.0,26000.0,175,80.0
703199062222,32001,0,8.0,8.0,26000.0,26000.0,180,92000,112000,171.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.7,4.0,2.9,248.46954192589268,0.0,173.33333333333334,0.0,26000.0,174,80.0
703199062222,42001,0,8.0,8.0,26000.0,24945.51,180,92000,112000,171.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.7,4.0,3.3,248.46954192589268,1054.4900000000016,173.33333333333334,979.3537914074424,26000.0,173,80.0
703199062222,52001,0,8.0,8.0,26000.0,24945.51,180,92000,112000,171.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,1,0,0,0,4,0,4.7,4.0,3.6,248.46954192589268,0.0,173.33333333333334,0.0,24945.51,172,80.0
703199062222,62001,0,8.0,8.0,26000.0,24737.65,180,92000,112000,168.0,90,9.0,635.0,0,1,4,1,1,47260,237,1,0,0,0,0,4,0,4.7,4.0,3.2,248.46954192589268,207.8599999999969,173.33333333333334,132.7237914074376,24945.51,171,80.0
679755609996,52001,0,7.0,7.0,41000.0,41000.0,180,32001,52001,178.0,75,29.0,651.0,0,2,4,1,1,16980,463,0,0,0,0,0,4,0,4.7,4.0,3.6,368.51959104949424,0.0,239.16666666666669,0.0,41000.0,178,175.0
