Loan Identifier,Monthly Reporting Period,Channel,Original Interest Rate,Current Interest Rate,Original UPB,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Debt-To-Income (DTI),Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Metropolitan Statistical Area (MSA),Zip Code Short,Interest Only Loan Indicator,Current Loan Delinquency Status,Modification Flag,Zero Balance Code,Special Eligibility Program,Property Valuation Method,High Balance Loan Indicator,Unemployment_rate,Divorce_rate,Inflation_rate,EMI,UPB_diff,Interest_Component,PREPAYMENT_AMT,Previous_UPB,Remaining MFM,Time to Die
755406567730,32000,2,7.875,7.875,40000.0,40000.0,180,32000,52000,180.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.8,379.3799452774352,0.0,262.5,0.0,40000.0,180,134.0
755406567730,42000,2,7.875,7.875,40000.0,40000.0,180,32000,52000,180.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.1,379.3799452774352,0.0,262.5,0.0,40000.0,179,134.0
755406567730,52000,2,7.875,7.875,40000.0,40000.0,180,32000,52000,179.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.2,379.3799452774352,0.0,262.5,0.0,40000.0,178,134.0
755406567730,62000,2,7.875,7.875,40000.0,40000.0,180,32000,52000,178.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.7,379.3799452774352,0.0,262.5,0.0,40000.0,177,134.0
755406567730,72000,2,7.875,7.875,40000.0,40000.0,180,32000,52000,177.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.7,379.3799452774352,0.0,262.5,0.0,40000.0,176,134.0
755406567730,82000,2,7.875,7.875,40000.0,40000.0,180,32000,52000,176.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.4,379.3799452774352,0.0,262.5,0.0,40000.0,175,134.0
755406567730,92000,2,7.875,7.875,40000.0,39407.87,180,32000,52000,175.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.5,379.3799452774352,592.1299999999974,262.5,475.2500547225622,40000.0,174,134.0
755406567730,102000,2,7.875,7.875,40000.0,39287.1,180,32000,52000,174.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.4,379.3799452774352,120.77000000000407,262.5,3.890054722568891,39407.87,173,134.0
755406567730,112000,2,7.875,7.875,40000.0,39165.54,180,32000,52000,173.0,58,38.0,706.0,0,0,4,1,1,42540,186,0,0,0,0,0,4,0,4.0,4.0,3.4,379.3799452774352,121.55999999999769,262.5,4.680054722562488,39287.1,172,134.0
755502868399,22000,1,6.75,6.75,220000.0,220000.0,180,12000,32000,179.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.2,1946.8008169588484,0.0,1237.5,0.0,220000.0,179,33.0
755502868399,32000,1,6.75,6.75,220000.0,220000.0,180,12000,32000,179.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.8,1946.8008169588484,0.0,1237.5,0.0,220000.0,178,33.0
755502868399,42000,1,6.75,6.75,220000.0,220000.0,180,12000,32000,177.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.1,1946.8008169588484,0.0,1237.5,0.0,220000.0,177,33.0
755502868399,52000,1,6.75,6.75,220000.0,220000.0,180,12000,32000,177.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.2,1946.8008169588484,0.0,1237.5,0.0,220000.0,176,33.0
755502868399,62000,1,6.75,6.75,220000.0,220000.0,180,12000,32000,176.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.7,1946.8008169588484,0.0,1237.5,0.0,220000.0,175,33.0
755502868399,72000,1,6.75,6.75,220000.0,220000.0,180,12000,32000,174.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.7,1946.8008169588484,0.0,1237.5,0.0,220000.0,174,33.0
755502868399,82000,1,6.75,6.75,220000.0,215683.91,180,12000,32000,174.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.4,1946.8008169588484,4316.0899999999965,1237.5,3606.789183041148,220000.0,173,33.0
755502868399,92000,1,6.75,6.75,220000.0,214950.33,180,12000,32000,173.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.5,1946.8008169588484,733.5800000000163,1237.5,24.27918304116793,215683.91,172,33.0
755502868399,102000,1,6.75,6.75,220000.0,214212.63,180,12000,32000,172.0,53,16.0,793.0,0,1,4,1,1,20500,275,1,0,0,0,0,4,0,4.0,4.0,3.4,1946.8008169588484,737.6999999999825,1237.5,28.399183041134165,214950.33,171,33.0
211122511499,52000,2,6.0,6.0,145000.0,145000.0,171,51999,71999,112.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.2,1263.484826886444,0.0,725.0,0.0,145000.0,159,51.0
211122511499,62000,2,6.0,6.0,145000.0,145000.0,171,51999,71999,121.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.7,1263.484826886444,0.0,725.0,0.0,145000.0,158,51.0
211122511499,72000,2,6.0,6.0,145000.0,145000.0,171,51999,71999,119.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.7,1263.484826886444,0.0,725.0,0.0,145000.0,157,51.0
211122511499,82000,2,6.0,6.0,145000.0,145000.0,171,51999,71999,118.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.4,1263.484826886444,0.0,725.0,0.0,145000.0,156,51.0
211122511499,92000,2,6.0,6.0,145000.0,145000.0,171,51999,71999,116.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.5,1263.484826886444,0.0,725.0,0.0,145000.0,155,51.0
211122511499,102000,2,6.0,6.0,145000.0,145000.0,171,51999,71999,114.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.4,1263.484826886444,0.0,725.0,0.0,145000.0,154,51.0
211122511499,112000,2,6.0,6.0,145000.0,108444.77,171,51999,71999,113.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.4,1263.484826886444,36555.23,725.0,36016.74517311355,145000.0,153,51.0
211122511499,122000,2,6.0,6.0,145000.0,107223.51,171,51999,71999,111.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.0,4.0,3.4,1263.484826886444,1221.2600000000093,725.0,682.7751731135654,108444.77,152,51.0
211122511499,12001,2,6.0,6.0,145000.0,105896.15,171,51999,71999,109.0,40,39.0,771.0,0,1,4,1,1,35840,342,1,0,0,0,0,4,0,4.7,4.0,3.7,1263.484826886444,1327.3600000000006,725.0,788.8751731135567,107223.51,151,51.0
628579516325,62000,2,8.75,8.75,28000.0,28000.0,276,52000,62000,275.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.7,235.9308931383102,0.0,204.16666666666663,0.0,28000.0,275,52.0
628579516325,72000,2,8.75,8.75,28000.0,28000.0,276,52000,62000,232.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.7,235.9308931383102,0.0,204.16666666666663,0.0,28000.0,274,52.0
628579516325,82000,2,8.75,8.75,28000.0,28000.0,276,52000,62000,198.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.4,235.9308931383102,0.0,204.16666666666663,0.0,28000.0,273,52.0
628579516325,92000,2,8.75,8.75,28000.0,28000.0,276,52000,62000,197.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.5,235.9308931383102,0.0,204.16666666666663,0.0,28000.0,272,52.0
628579516325,102000,2,8.75,8.75,28000.0,28000.0,276,52000,62000,171.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.4,235.9308931383102,0.0,204.16666666666663,0.0,28000.0,271,52.0
628579516325,112000,2,8.75,8.75,28000.0,28000.0,276,52000,62000,148.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.4,235.9308931383102,0.0,204.16666666666663,0.0,28000.0,270,52.0
628579516325,122000,2,8.75,8.75,28000.0,20990.61,276,52000,62000,147.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.0,4.0,3.4,235.9308931383102,7009.389999999999,204.16666666666663,6977.625773528356,28000.0,269,52.0
628579516325,12001,2,8.75,8.75,28000.0,20494.59,276,52000,62000,141.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.7,4.0,3.7,235.9308931383102,496.0200000000005,204.16666666666663,464.2557735283568,20990.61,268,52.0
628579516325,22001,2,8.75,8.75,28000.0,19963.76,276,52000,62000,135.0,18,3.0,677.0,0,2,4,1,1,47900,221,1,0,0,0,0,4,0,4.7,4.0,3.5,235.9308931383102,530.8300000000017,204.16666666666663,499.0657735283581,20494.59,267,52.0
890779254937,42000,1,8.375,8.375,50000.0,50000.0,180,22000,42000,177.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.1,488.7130781150712,0.0,348.9583333333333,0.0,50000.0,178,40.0
890779254937,52000,1,8.375,8.375,50000.0,50000.0,180,22000,42000,174.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.2,488.7130781150712,0.0,348.9583333333333,0.0,50000.0,177,40.0
890779254937,62000,1,8.375,8.375,50000.0,50000.0,180,22000,42000,170.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.7,488.7130781150712,0.0,348.9583333333333,0.0,50000.0,176,40.0
890779254937,72000,1,8.375,8.375,50000.0,50000.0,180,22000,42000,162.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.7,488.7130781150712,0.0,348.9583333333333,0.0,50000.0,175,40.0
890779254937,82000,1,8.375,8.375,50000.0,50000.0,180,22000,42000,155.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.4,488.7130781150712,0.0,348.9583333333333,0.0,50000.0,174,40.0
890779254937,92000,1,8.375,8.375,50000.0,50000.0,180,22000,42000,148.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.5,488.7130781150712,0.0,348.9583333333333,0.0,50000.0,173,40.0
890779254937,102000,1,8.375,8.375,50000.0,43839.75,180,22000,42000,142.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.4,488.7130781150712,6160.25,348.9583333333333,6020.495255218262,50000.0,172,40.0
890779254937,112000,1,8.375,8.375,50000.0,43839.75,180,22000,42000,142.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.4,488.7130781150712,0.0,348.9583333333333,0.0,43839.75,171,40.0
890779254937,122000,1,8.375,8.375,50000.0,41466.0,180,22000,42000,129.0,29,29.0,796.0,0,1,4,1,1,16980,600,1,0,0,0,0,4,0,4.0,4.0,3.4,488.7130781150712,2373.75,348.9583333333333,2233.995255218262,43839.75,170,40.0
100121115565,72000,2,7.0,7.0,60000.0,60000.0,360,62000,82000,359.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.0,4.0,3.7,399.1814971075094,0.0,350.0,0.0,60000.0,359,55.0
100121115565,82000,2,7.0,7.0,60000.0,60000.0,360,62000,82000,357.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.0,4.0,3.4,399.1814971075094,0.0,350.0,0.0,60000.0,358,55.0
100121115565,92000,2,7.0,7.0,60000.0,60000.0,360,62000,82000,355.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.0,4.0,3.5,399.1814971075094,0.0,350.0,0.0,60000.0,357,55.0
100121115565,102000,2,7.0,7.0,60000.0,60000.0,360,62000,82000,353.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.0,4.0,3.4,399.1814971075094,0.0,350.0,0.0,60000.0,356,55.0
100121115565,112000,2,7.0,7.0,60000.0,60000.0,360,62000,82000,351.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.0,4.0,3.4,399.1814971075094,0.0,350.0,0.0,60000.0,355,55.0
100121115565,122000,2,7.0,7.0,60000.0,60000.0,360,62000,82000,324.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.0,4.0,3.4,399.1814971075094,0.0,350.0,0.0,60000.0,354,55.0
100121115565,12001,2,7.0,7.0,60000.0,57879.63,360,62000,82000,322.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.7,4.0,3.7,399.1814971075094,2120.3700000000026,350.0,2071.188502892493,60000.0,353,55.0
100121115565,22001,2,7.0,7.0,60000.0,57758.67,360,62000,82000,320.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.7,4.0,3.5,399.1814971075094,120.95999999999913,350.0,71.77850289248971,57879.63,352,55.0
100121115565,32001,2,7.0,7.0,60000.0,57637.01,360,62000,82000,318.0,32,10.0,708.0,0,1,4,1,1,18140,430,1,0,0,0,0,4,0,4.7,4.0,2.9,399.1814971075094,121.65999999999622,350.0,72.4785028924868,57758.67,351,55.0
466568162764,82000,1,6.875,6.875,80000.0,80000.0,180,61999,81999,98.0,44,31.0,733.0,0,0,4,1,1,14460,21,1,0,0,0,0,4,0,4.0,4.0,3.4,713.4834671474363,0.0,458.3333333333333,0.0,80000.0,166,18.0
