Loan Identifier,Monthly Reporting Period,Channel,Original Interest Rate,Current Interest Rate,Original UPB,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Debt-To-Income (DTI),Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Metropolitan Statistical Area (MSA),Zip Code Short,Interest Only Loan Indicator,Current Loan Delinquency Status,Modification Flag,Zero Balance Code,Special Eligibility Program,Property Valuation Method,High Balance Loan Indicator,Unemployment_rate,Divorce_rate,Inflation_rate,EMI,UPB_diff,Interest_Component,Previous_UPB,Remaining MFM
122752190,82021,2,3.0,3.0,597000.0,590000.0,360,12021,32021,354.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,5.3,2.5,5.3,2516.976081364852,1000.0,1492.5,591000.0,353
122752190,92021,2,3.0,3.0,597000.0,589119.62,360,12021,32021,353.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,5.3,2.5,5.4,2516.976081364852,880.3800000000047,1492.5,590000.0,352
122752190,102021,2,3.0,3.0,597000.0,588004.21,360,12021,32021,352.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,5.3,2.5,6.2,2516.976081364852,1115.4100000000326,1492.5,589119.62,351
122752190,112021,2,3.0,3.0,597000.0,586886.01,360,12021,32021,351.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,5.3,2.5,6.8,2516.976081364852,1118.1999999999534,1492.5,588004.21,350
122752190,122021,2,3.0,3.0,597000.0,585765.02,360,12021,32021,350.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,5.3,2.5,7.0,2516.976081364852,1120.9899999999907,1492.5,586886.01,349
122752190,12022,2,3.0,3.0,597000.0,584641.22,360,12021,32021,349.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,3.6,2.3,7.5,2516.976081364852,1123.8000000000466,1492.5,585765.02,348
122752190,22022,2,3.0,3.0,597000.0,583514.61,360,12021,32021,348.0,75,38,785,0,2,4,1,1,19740,802,0,0,0.0,0.0,0,3,1,3.6,2.3,7.9,2516.976081364852,1126.609999999986,1492.5,584641.22,347
122128365,72021,2,2.875,2.875,566000.0,561000.0,360,12021,32021,355.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,5.3,2.5,5.4,2348.291420250704,1000.0,1356.0416666666663,562000.0,354
122128365,82021,2,2.875,2.875,566000.0,560000.0,360,12021,32021,354.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,5.3,2.5,5.3,2348.291420250704,1000.0,1356.0416666666663,561000.0,353
122128365,92021,2,2.875,2.875,566000.0,559004.06,360,12021,32021,353.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,5.3,2.5,5.4,2348.291420250704,995.939999999944,1356.0416666666663,560000.0,352
122128365,102021,2,2.875,2.875,566000.0,557995.04,360,12021,32021,352.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,5.3,2.5,6.2,2348.291420250704,1009.0200000000186,1356.0416666666663,559004.06,351
122128365,112021,2,2.875,2.875,566000.0,556983.6,360,12021,32021,351.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,5.3,2.5,6.8,2348.291420250704,1011.4400000000604,1356.0416666666663,557995.04,350
122128365,122021,2,2.875,2.875,566000.0,555969.74,360,12021,32021,350.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,5.3,2.5,7.0,2348.291420250704,1013.859999999986,1356.0416666666663,556983.6,349
122128365,12022,2,2.875,2.875,566000.0,554953.45,360,12021,32021,349.0,57,41,793,0,2,4,1,1,42660,980,0,0,0.0,0.0,0,3,1,3.6,2.3,7.5,2348.291420250704,1016.2900000000373,1356.0416666666663,555969.74,348
124608145,112021,1,3.125,3.125,146000.0,144269.97,360,32021,52021,353.0,67,45,672,0,2,4,1,1,40060,232,0,0,0.0,0.0,0,3,0,5.3,2.5,6.8,625.4281596838545,730.0299999999988,380.2083333333333,145000.0,352
124608145,122021,1,3.125,3.125,146000.0,143769.86,360,32021,52021,351.0,67,45,672,0,2,4,1,1,40060,232,0,0,0.0,0.0,0,3,0,5.3,2.5,7.0,625.4281596838545,500.11000000001513,380.2083333333333,144269.97,351
124608145,12022,1,3.125,3.125,146000.0,143769.86,360,32021,52021,351.0,67,45,672,0,2,4,1,1,40060,232,0,0,0.0,0.0,0,3,0,3.6,2.3,7.5,625.4281596838545,0.0,380.2083333333333,143769.86,350
124608145,22022,1,3.125,3.125,146000.0,143518.83,360,32021,52021,350.0,67,45,672,0,2,4,1,1,40060,232,0,0,0.0,0.0,0,3,0,3.6,2.3,7.9,625.4281596838545,251.02999999999884,380.2083333333333,143769.86,349
124608145,32022,1,3.125,3.125,146000.0,143267.15,360,32021,52021,349.0,67,45,672,0,2,4,1,1,40060,232,0,0,0.0,0.0,0,3,0,3.6,2.3,8.5,625.4281596838545,251.67999999999304,380.2083333333333,143518.83,348
124608145,42022,1,3.125,3.125,146000.0,142761.81,360,32021,52021,347.0,67,45,672,0,2,4,1,1,40060,232,0,0,0.0,0.0,0,3,0,3.6,2.3,8.3,625.4281596838545,505.3399999999965,380.2083333333333,143267.15,347
