Loan Identifier,Monthly Reporting Period,Channel,Original Interest Rate,Current Interest Rate,Original UPB,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Remaining Months To Maturity,Original Loan to Value Ratio (LTV),Debt-To-Income (DTI),Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Metropolitan Statistical Area (MSA),Zip Code Short,Interest Only Loan Indicator,Current Loan Delinquency Status,Modification Flag,Zero Balance Code,Special Eligibility Program,Property Valuation Method,High Balance Loan Indicator,Unemployment_rate,Divorce_rate,Inflation_rate,EMI,UPB_diff,Interest_Component,Previous_UPB,Remaining MFM
122237728,72021,2,2.75,2.75,243000.0,237000.0,360,12021,32021,347.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,5.3,2.5,5.4,992.0260698272132,0.0,556.875,237000.0,354
122237728,82021,2,2.75,2.75,243000.0,237000.0,360,12021,32021,346.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,5.3,2.5,5.3,992.0260698272132,0.0,556.875,237000.0,353
122237728,92021,2,2.75,2.75,243000.0,236596.77,360,12021,32021,346.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,5.3,2.5,5.4,992.0260698272132,403.2300000000105,556.875,237000.0,352
122237728,102021,2,2.75,2.75,243000.0,234446.08,360,12021,32021,341.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,5.3,2.5,6.2,992.0260698272132,2150.6900000000023,556.875,236596.77,351
122237728,112021,2,2.75,2.75,243000.0,233991.32,360,12021,32021,340.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,5.3,2.5,6.8,992.0260698272132,454.7599999999802,556.875,234446.08,350
122237728,122021,2,2.75,2.75,243000.0,233535.52,360,12021,32021,339.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,5.3,2.5,7.0,992.0260698272132,455.8000000000175,556.875,233991.32,349
122237728,12022,2,2.75,2.75,243000.0,233078.68,360,12021,32021,338.0,92,23,802,1,1,4,1,1,0,835,0,0,0.0,0.0,0,0,0,3.6,2.3,7.5,992.0260698272132,456.8399999999965,556.875,233535.52,348
126085681,12022,2,2.875,2.875,429000.0,424000.0,360,62021,82021,354.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,7.5,1779.8887266564525,1000.0,1027.8125,425000.0,353
126085681,22022,2,2.875,2.875,429000.0,423549.3,360,62021,82021,353.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,7.9,1779.8887266564525,450.7000000000117,1027.8125,424000.0,352
126085681,32022,2,2.875,2.875,429000.0,422784.78,360,62021,82021,352.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,8.5,1779.8887266564525,764.5199999999604,1027.8125,423549.3,351
126085681,42022,2,2.875,2.875,429000.0,422018.43,360,62021,82021,351.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,8.3,1779.8887266564525,766.3500000000349,1027.8125,422784.78,350
126085681,52022,2,2.875,2.875,429000.0,421250.25,360,62021,82021,350.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,8.6,1779.8887266564525,768.179999999993,1027.8125,422018.43,349
126085681,62022,2,2.875,2.875,429000.0,420480.23,360,62021,82021,349.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,9.1,1779.8887266564525,770.0200000000186,1027.8125,421250.25,348
126085681,72022,2,2.875,2.875,429000.0,419708.36,360,62021,82021,348.0,90,21,797,1,1,3,1,1,41700,782,0,0,0.0,0.0,0,0,0,3.6,2.3,8.5,1779.8887266564525,771.8699999999953,1027.8125,420480.23,347
123493802,92021,0,2.75,2.75,128000.0,126000.0,360,22021,42021,354.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,5.3,2.5,5.4,522.5487116785321,0.0,293.3333333333333,126000.0,353
123493802,102021,0,2.75,2.75,128000.0,125644.45,360,22021,42021,352.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,5.3,2.5,6.2,522.5487116785321,355.5500000000029,293.3333333333333,126000.0,352
123493802,112021,0,2.75,2.75,128000.0,125376.94,360,22021,42021,351.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,5.3,2.5,6.8,522.5487116785321,267.5099999999948,293.3333333333333,125644.45,351
123493802,122021,0,2.75,2.75,128000.0,125108.81,360,22021,42021,350.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,5.3,2.5,7.0,522.5487116785321,268.13000000000466,293.3333333333333,125376.94,350
123493802,12022,0,2.75,2.75,128000.0,124840.07,360,22021,42021,349.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,3.6,2.3,7.5,522.5487116785321,268.7399999999907,293.3333333333333,125108.81,349
123493802,22022,0,2.75,2.75,128000.0,124570.71,360,22021,42021,348.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,3.6,2.3,7.9,522.5487116785321,269.3600000000006,293.3333333333333,124840.07,348
123493802,32022,0,2.75,2.75,128000.0,124300.73,360,22021,42021,347.0,75,27,756,0,2,4,1,1,33340,532,0,0,0.0,0.0,0,0,0,3.6,2.3,8.5,522.5487116785321,269.9800000000105,293.3333333333333,124570.71,347
127384226,32022,0,3.303,3.303,188000.0,186000.0,360,82021,102021,354.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,8.5,823.6664469219543,0.0,517.4699999999999,186000.0,353
127384226,42022,0,3.303,3.303,188000.0,185344.57,360,82021,102021,353.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,8.3,823.6664469219543,655.429999999993,517.4699999999999,186000.0,352
127384226,52022,0,3.303,3.303,188000.0,184721.07,360,82021,102021,351.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,8.6,823.6664469219543,623.5,517.4699999999999,185344.57,351
127384226,62022,0,3.303,3.303,188000.0,184721.07,360,82021,102021,351.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,9.1,823.6664469219543,0.0,517.4699999999999,184721.07,350
127384226,72022,0,3.303,3.303,188000.0,184408.03,360,82021,102021,350.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,8.5,823.6664469219543,313.0400000000081,517.4699999999999,184721.07,349
127384226,82022,0,3.303,3.303,188000.0,184094.13,360,82021,102021,349.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,8.3,823.6664469219543,313.8999999999942,517.4699999999999,184408.03,348
127384226,92022,0,3.303,3.303,188000.0,183779.37,360,82021,102021,348.0,60,34,645,0,2,4,1,1,36740,328,0,0,0.0,0.0,0,3,0,3.6,2.3,8.2,823.6664469219543,314.7600000000093,517.4699999999999,184094.13,347
124427596,112021,0,3.364,3.364,318000.0,315000.0,360,42021,72021,355.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,5.3,2.5,6.8,1403.9303849457112,1000.0,891.4599999999999,316000.0,353
124427596,122021,0,3.364,3.364,318000.0,315000.0,360,42021,72021,354.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,5.3,2.5,7.0,1403.9303849457112,0.0,891.4599999999999,315000.0,352
124427596,12022,0,3.364,3.364,318000.0,314382.33,360,42021,72021,353.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,3.6,2.3,7.5,1403.9303849457112,617.6699999999837,891.4599999999999,315000.0,351
124427596,22022,0,3.364,3.364,318000.0,313859.71,360,42021,72021,352.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,3.6,2.3,7.9,1403.9303849457112,522.6199999999953,891.4599999999999,314382.33,350
124427596,32022,0,3.364,3.364,318000.0,313335.62,360,42021,72021,351.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,3.6,2.3,8.5,1403.9303849457112,524.0900000000256,891.4599999999999,313859.71,349
124427596,42022,0,3.364,3.364,318000.0,312810.06,360,42021,72021,350.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,3.6,2.3,8.3,1403.9303849457112,525.5599999999977,891.4599999999999,313335.62,348
124427596,52022,0,3.364,3.364,318000.0,312283.03,360,42021,72021,349.0,79,34,771,0,0,4,1,1,17020,959,0,0,0.0,0.0,0,0,0,3.6,2.3,8.6,1403.9303849457112,527.0299999999697,891.4599999999999,312810.06,347
127619270,32022,2,3.0,3.0,167000.0,165000.0,360,82021,102021,354.0,95,31,789,1,1,4,1,1,19820,480,0,0,0.0,0.0,0,0,0,3.6,2.3,8.5,704.0787363281916,0.0,417.5,165000.0,353
